	Som	Repo	Trar	Mena	Visi	Jard	Lois	Disq	Lect	Cour	Prom	Pied	Voit	Freq
J1rur	463	23	300	21	51	82	10	1	0	41	6	7	52	135
J1mix	515	58	208	41	30	32	2	4	0	33	8	24	29	225
J2rur	463	34	298	18	37	55	18	5	2	30	5	8	56	135
J2moy	456	43	239	26	51	59	18	3	4	52	9	10	72	142
J2imp	478	44	212	22	42	43	18	2	6	48	14	15	72	167
J2par	465	41	226	37	42	16	10	8	9	44	13	19	59	145
J3mix	458	47	314	25	39	42	16	9	16	34	4	6	61	103
J3imp	457	30	269	52	37	35	25	6	8	42	10	12	81	107
J3par	465	40	268	36	21	4	19	6	14	46	10	21	48	82
M1rur	449	42	312	15	16	112	15	0	2	32	7	8	60	153
M1moy	450	63	249	40	55	83	3	2	0	45	9	10	61	145
M1mix	455	47	250	30	13	57	7	2	7	52	15	15	49	194
M2rur	461	39	323	14	21	81	15	1	5	26	3	7	59	130
M2moy	453	44	269	23	39	93	3	3	12	42	12	10	62	129
M2imp	433	49	283	22	21	62	13	6	7	38	11	11	47	168
M2par	438	32	338	28	6	64	13	1	19	34	7	14	53	130
M3rur	457	44	313	24	23	63	9	0	11	30	7	7	69	108
M3moy	455	47	380	23	7	40	13	0	10	23	1	9	59	100
M3imp	467	37	264	40	27	33	11	1	10	45	6	10	72	135
M3par	433	35	355	34	13	31	12	3	13	37	8	22	57	96
A1mix	473	51	356	21	27	82	8	0	1	35	13	7	40	107
A2rur	453	45	358	12	18	54	4	0	4	34	3	10	48	143
A2moy	485	53	222	24	23	91	8	0	3	52	7	9	75	166
A2imp	456	43	265	30	23	61	9	2	11	50	17	13	46	185
A3mix	444	53	302	31	16	97	4	2	4	38	13	11	61	127
