	Reps	Repr
J1rur	107	4
J1mix	102	10
J2rur	84	17
J2moy	74	21
J2imp	76	15
J2par	85	23
J3mix	94	15
J3imp	82	26
J3par	78	31
M1rur	86	7
M1moy	86	9
M1mix	95	9
M2rur	90	8
M2moy	97	18
M2imp	91	12
M2par	102	11
M3rur	87	6
M3moy	78	31
M3imp	86	21
M3par	76	17
A1mix	99	6
A2rur	86	7
A2moy	86	0
A2imp	94	12
A3mix	90	7
